事業者名,ステータス,精算,予約番号,企画区分,申込日,キャンセル日,貸出日時,貸出営業所,貸出営業所コード,返却日時,返却営業所,返却営業所コード,料金プラン,車両クラス,AT/MT,禁煙/喫煙,オプション,免責補償,乗車人数,到着便,出発便,基本料金合計（予約時）,乗捨料金（予約時）,オプション料金（予約時明細）,オプション料金（予約時合計金額）,免責補償料金（予約時明細）,免責補償料金（予約時合計金額）,深夜手数料（予約時）,合計金額（予約時）,最終利用金額,DP最終利用金額,キャンセル料金,利用ポイント,クーポンコード,クーポン名称,利用クーポン金額,計算基準額,システム利用料,販促プログラム,ポイント付与料,ポイント追加付与料,料金プランコード,メモ,DPオペレーターメモ,DP用最終更新日時
  ニコニコレンタカー,キャンセル（予約者都合）,済,R0U8Z4K6,じゃらん,2018/6/13 22:53,2018/8/1 11:52,2018/8/19 9:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/21 18:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / チャイルドシート × 1,免責補償制度,大人: 3 名、子ども: 1 名,sky703,sky726,12000,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / チャイルドシート × 1（1620円）,1620,免責補償制度（3240円）,3240,0,16860,0,,0,0,,"早めの予約がお得★夏休みに使える2,500円分クーポン【ご予約は6/14迄】",,0,0,0,0,0,SCS001,,,
  ニコニコレンタカー,予約成立,済,R038EOYZ,じゃらん,2018/6/14 15:40,,2018/6/14 18:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/6/15 20:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 2 名、子ども: 0 名,SKY765,,4500,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（2160円） / 免責補償フル(事故時の負担金ゼロ)（2160円）,4320,0,8820,8820,,0,3000,,,,8166,979,0,163,0,SCS001,,,
  ニコニコレンタカー,予約成立,済,R07X1KX1,じゃらん,2018/6/14 20:03,,2018/6/21 10:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/6/23 16:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】8人乗りワゴンクラス 禁煙 (ノア・セレナ等) ,Fクラス(SCF001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 1 名、子ども: 0 名,ANA1711,ANA1718,20000,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（3240円） / 免責補償フル(事故時の負担金ゼロ)（3240円）,6480,0,26480,26480,,0,0,,,,24518,2942,0,490,0,SCF13,,,
  ニコニコレンタカー,キャンセル（予約者都合）,済,R8KA6TP4,JALじゃらんパック,2018/6/14 23:36,2018/6/16 15:09,2018/8/27 10:55,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/29 18:20,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC × 1,免責補償,大人: 2 名、子ども: 0 名,JAL3103,JAL3118,0,0,カーナビ × 1（0円） / ETC × 1（0円）,0,免責補償（0円）,0,0,10500,0,0,0,,,,,0,0,,,,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),,,2018/6/16 15:09
  ニコニコレンタカー,キャンセル（予約者都合）,済,R07KQQKB,じゃらん,2018/6/16 16:34,2018/9/6 11:03,2018/9/30 10:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/10/4 18:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 3 名、子ども: 0 名,ANA379,ANA380,11800,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（5400円） / 免責補償フル(事故時の負担金ゼロ)（5400円）,10800,0,22600,0,,0,0,,,,0,0,0,0,0,SCS001,,,
  ニコニコレンタカー,キャンセル（予約者都合）,済,R8VJLA1U,ANAじゃらんパック,2018/6/16 21:21,2018/7/3 21:36,2018/7/27 10:25,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/7/28 17:45,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC × 1,免責補償,大人: 2 名、子ども: 0 名,ANA1271,ANA1272,0,0,カーナビ × 1（0円） / ETC × 1（0円）,0,免責補償（0円）,0,0,7500,0,0,0,,,,,0,0,,,,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),,,2018/7/3 21:36
  ニコニコレンタカー,キャンセル（予約者都合）,済,R87EGJAO,JALじゃらんパック,2018/6/16 22:51,2018/6/17 9:00,2018/8/27 11:35,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/29 20:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC × 1,免責補償,大人: 2 名、子ども: 0 名,JAL0509,JAL0528,0,0,カーナビ × 1（0円） / ETC × 1（0円）,0,免責補償（0円）,0,0,10500,0,0,0,,,,,0,0,,,,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),,,2018/6/17 9:00
  ニコニコレンタカー,予約成立,済,R8C30L3I,JALじゃらんパック,2018/6/17 15:57,,2018/7/11 13:35,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/7/13 14:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC × 1,免責補償,大人: 2 名、子ども: 0 名,JAL0513,JAL0514,11500,0,カーナビ × 1（0円） / ETC × 1（0円）,0,免責補償（0円）,0,0,11500,11500,11500,0,,,,,10648,1277,,,,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),,,
  ニコニコレンタカー,予約成立,済,R0FI2ERU,じゃらん,2018/6/17 21:17,,2018/6/29 11:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/7/2 10:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / チャイルドシート × 1 / ETCカード × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 2 名、子ども: 1 名,JW907,JW908,9300,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / チャイルドシート × 1（1620円） / ETCカード × 1（350円）,1970,免責補償制度（3240円） / 免責補償フル(事故時の負担金ゼロ)（3240円）,6480,0,17750,17750,,0,0,,,,16435,1972,0,328,0,SCS001,,,
  ニコニコレンタカー,予約成立,済,R0S2TY93,じゃらん,2018/6/17 21:55,,2018/6/18 11:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/6/22 18:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 2 名、子ども: 0 名,SKY171,SKY178,11800,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（5400円） / 免責補償フル(事故時の負担金ゼロ)（5400円）,10800,0,22600,22600,,0,0,,,,20925,2511,0,418,0,SCS001,,,
  ニコニコレンタカー,予約成立,済,R8R2NNLS,ANAじゃらんパック,2018/6/18 0:38,,2018/7/11 14:50,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/7/14 19:30,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC × 1,免責補償,大人: 1 名、子ども: 0 名,ADN4723,ANA0082,16500,0,カーナビ × 1（0円） / ETC × 1（0円）,0,免責補償（0円）,0,0,16500,16500,16500,0,,,,,15277,1833,,,,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),,,
  ニコニコレンタカー,予約成立,済,R0E79W2O,じゃらん,2018/6/18 12:03,,2018/7/29 19:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/1 19:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 1 名、子ども: 0 名,jal3115,jal3106,16000,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（3240円） / 免責補償フル(事故時の負担金ゼロ)（3240円）,6480,0,22480,22480,,0,0,,,,20814,2497,0,416,0,SCS001,,,
  ニコニコレンタカー,予約成立,済,R8LJ0A64,ANAじゃらんパック,2018/6/18 16:42,,2018/8/27 10:25,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/29 17:45,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC × 1,免責補償,大人: 2 名、子ども: 0 名,ANA1271,ANA1272,10500,0,カーナビ × 1（0円） / ETC × 1（0円）,0,免責補償（0円）,0,0,10500,10500,10500,0,,,,,9722,1166,,,,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),,,
  ニコニコレンタカー,予約成立,済,R0CTXLEI,じゃらん,2018/6/19 23:12,,2018/6/23 10:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/6/24 18:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度,大人: 5 名、子ども: 0 名,,,4500,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（2160円）,2160,0,6660,6660,,0,0,,,,6166,739,0,123,0,SCS001,,,
  ニコニコレンタカー,予約成立,済,R0NAUG1A,じゃらん,2018/6/20 0:16,,2018/7/17 13:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/7/21 17:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / チャイルドシート × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 2 名、子ども: 1 名,AirbusA320,AirbusA320,20000,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / チャイルドシート × 1（2700円）,2700,免責補償制度（5400円） / 免責補償フル(事故時の負担金ゼロ)（5400円）,10800,0,33500,33500,,0,0,,,,31018,3722,0,620,0,SCS001,,,
