company_name,request_date,pickup_date,return_date,cancellation_date,is_cancelled,car_class,transmission,num_of_passengers,num_of_children,arrival_flight,total_price,day_of_week,is_holiday,is_bad_weather,events_count,events_avg_distance,events_avg_duration,encoded_car_company,month
jalan,2016-05-17,2016-06-18,2016-06-20,2016-05-21,1,Sクラス禁煙（SCS0002）,AT,2,0,tw251,8840,Sat,0,0,17,53292.85095049899,7.235294117647059,4291.428571428571,6
jalan,2016-05-17,2016-05-26,2016-05-28,2016-05-17,1,Kクラス(SCK001),AT,2,0,GK181便,11340,Thu,0,0,2,86524.41486496193,1,4169.508196721312,5
jalan,2016-05-18,2016-05-19,2016-05-20,NA,0,Kクラス(SCK001),AT,2,0,JAL523,3780,Thu,0,0,1,134244.44741638147,3,4169.508196721312,5
jalan,2016-05-19,2016-06-10,2016-06-12,2016-05-20,1,Sクラス禁煙（SCS0002）,AT,2,0,ANA1715,7760,Fri,0,0,8,32797.42206794682,2.25,4291.428571428571,6
jalan,2016-05-21,2016-07-10,2016-07-17,NA,0,Sクラス禁煙（SCS001）,AT,2,0,ANA771,39020,Sun,0,0,10,37230.27803333574,11.4,5480,7
jalan,2016-05-21,2016-08-12,2016-08-15,2016-06-04,1,Sクラス(FS001),AT,2,0,JAL2903,22620,Fri,0,0,5,62851.72209589308,1,8810.76923076923,8
jalan,2016-05-23,2016-05-26,2016-05-28,2016-05-24,1,Sクラス禁煙（SCS0002）,AT,2,0,SKY703,11640,Thu,0,0,2,86524.41486496193,1,4291.428571428571,5
jalan,2016-05-24,2016-05-25,2016-05-27,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,NA,8840,Wed,0,0,6,77516.86149439524,2.6666666666666665,4291.428571428571,5
jalan,2016-05-24,2016-06-20,2016-06-23,NA,0,Kクラス(SCK001),AT,2,0,NA,11340,Mon,0,0,1,134154.5080095413,1,4169.508196721312,6
jalan,2016-05-27,2016-07-27,2016-07-30,NA,0,Sクラス禁煙（SCS001）,AT,2,0,JAL2501,17340,Wed,0,0,4,73991.54799557033,3.5,5480,7
jalan,2016-05-27,2016-06-02,2016-06-03,NA,0,Fクラス(SCF001),AT,2,0,GK181,11560,Thu,0,0,5,55575.81248820874,6.8,10547.514563106797,6
jalan,2016-05-29,2016-07-11,2016-07-16,2016-05-30,1,Sクラス禁煙（SCS001）,AT,2,0,JAL2857,27100,Mon,0,0,2,36649.143226092914,2.5,5480,7
jalan,2016-05-31,2016-07-15,2016-07-18,NA,0,Sクラス禁煙（SCS001）,AT,2,0,JW913,13020,Fri,0,0,8,89324.12568215458,11.25,5480,7
jalan,2016-06-01,2016-06-08,2016-06-09,NA,0,Fクラス(SCF001),AT,2,0,NA,13720,Wed,0,0,11,48269.82306047593,5.909090909090909,10547.514563106797,6
jalan,2016-06-01,2016-06-10,2016-06-12,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,NA,7760,Fri,0,0,8,32797.42206794682,2.25,4291.428571428571,6
jalan,2016-06-03,2016-07-05,2016-07-06,NA,0,SPクラス(SCSP001),AT,2,0,NA,7960,Tue,0,0,2,36348.591278139036,1,5209.090909090909,7
jalan,2016-06-04,2016-06-23,2016-06-28,NA,0,SPクラス(SCSP001),AT,2,0,JW905,23480,Thu,0,0,7,49940.402932571764,1.5714285714285714,5209.090909090909,6
jalan,2016-06-05,2016-07-02,2016-07-10,2016-06-05,1,SPクラス(SCSP001),AT,2,0,SKY,35560,Sat,0,0,23,57150.51550670976,6.173913043478261,5209.090909090909,7
jalan,2016-06-05,2016-06-25,2016-06-28,NA,0,Fクラス(SCF001),AT,2,0,KE765,25860,Sat,0,0,29,67608.01081966235,20.551724137931036,10547.514563106797,6
jalan,2016-06-05,2016-06-25,2016-06-26,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,NA,4420,Sat,0,0,29,67608.01081966235,20.551724137931036,4291.428571428571,6
jalan,2016-06-05,2016-07-07,2016-07-09,NA,0,SPクラス(SCSP001),AT,2,0,ANA1113,11840,Thu,0,0,5,30939.73783101114,12.2,5209.090909090909,7
jalan,2016-06-08,2016-07-04,2016-07-07,NA,0,SPクラス(SCSP001),AT,2,0,SKY703,13920,Mon,0,0,2,39779.84616120193,6,5209.090909090909,7
jalan,2016-06-09,2016-07-11,2016-07-15,NA,0,SPクラス(SCSP001),AT,2,0,sky711,9600,Mon,0,0,2,36649.143226092914,2.5,5209.090909090909,7
jalan,2016-06-09,2016-07-11,2016-07-13,2016-07-07,1,SPクラス(SCSP001),AT,2,0,GK181,12260,Mon,0,0,2,36649.143226092914,2.5,5209.090909090909,7
jalan,2016-06-09,2016-07-17,2016-07-20,NA,0,Sクラス禁煙（SCS001）,AT,2,0,ANA775,16260,Sun,1,0,23,100645.71024183204,1.565217391304348,5480,7
jalan,2016-06-09,2016-07-23,2016-07-26,2016-06-09,1,Sクラス禁煙（SCS001）,AT,2,0,NA,16260,Sat,0,0,32,77757.9186618023,11.625,5480,7
jalan,2016-06-09,2016-07-23,2016-07-26,NA,0,Sクラス禁煙（SCS001）,AT,2,0,NA,16260,Sat,0,0,32,77757.9186618023,11.625,5480,7
jalan,2016-06-09,2016-07-01,2016-07-03,NA,0,SPクラス(SCSP001),AT,2,0,JAL3513,9520,Fri,0,0,19,70638.74729156967,41.63157894736842,5209.090909090909,7
jalan,2016-06-10,2016-07-11,2016-07-15,NA,0,SPクラス(SCSP001),AT,2,0,JW903,17200,Mon,0,0,2,36649.143226092914,2.5,5209.090909090909,7
jalan,2016-06-10,2016-06-25,2016-06-28,NA,0,Fクラス(SCF001),AT,2,0,NA,29320,Sat,0,0,29,67608.01081966235,20.551724137931036,10547.514563106797,6
jalan,2016-06-11,2016-07-05,2016-07-10,NA,0,SPクラス(SCSP001),AT,2,0,MM103,20480,Tue,0,0,2,36348.591278139036,1,5209.090909090909,7
