company_name,pickup_date,target
jalan,2016-09-02,0
rakuten,2016-09-02,1
jalan,2016-09-03,0
rakuten,2016-09-03,2
jalan,2016-09-04,0
rakuten,2016-09-04,2
jalan,2016-09-05,0
rakuten,2016-09-05,3
jalan,2016-09-06,0
rakuten,2016-09-06,3
jalan,2016-09-07,0
rakuten,2016-09-07,3
jalan,2016-09-08,0
rakuten,2016-09-08,1
jalan,2016-09-09,0
rakuten,2016-09-09,3
jalan,2016-09-10,0
rakuten,2016-09-10,9
jalan,2016-09-11,0
rakuten,2016-09-11,1
jalan,2016-09-12,0
rakuten,2016-09-12,3
jalan,2016-09-13,0
rakuten,2016-09-13,2
jalan,2016-09-14,0
rakuten,2016-09-14,4
jalan,2016-09-15,1
rakuten,2016-09-15,0
jalan,2016-09-16,4
rakuten,2016-09-16,9
jalan,2016-09-17,3
rakuten,2016-09-17,5
jalan,2016-09-18,1
rakuten,2016-09-18,3
jalan,2016-09-19,1
rakuten,2016-09-19,11
jalan,2016-09-20,0
rakuten,2016-09-20,9
jalan,2016-09-21,1
rakuten,2016-09-21,8
jalan,2016-09-22,4
rakuten,2016-09-22,10
jalan,2016-09-23,0
rakuten,2016-09-23,8
jalan,2016-09-24,1
rakuten,2016-09-24,7
jalan,2016-09-25,0
rakuten,2016-09-25,3
jalan,2016-09-26,1
rakuten,2016-09-26,3
jalan,2016-09-27,0
rakuten,2016-09-27,4
jalan,2016-09-28,0
rakuten,2016-09-28,2
jalan,2016-09-29,0
rakuten,2016-09-29,3
jalan,2016-09-30,1
rakuten,2016-09-30,5
jalan,2016-10-01,0
rakuten,2016-10-01,6
jalan,2016-10-02,0
rakuten,2016-10-02,2
jalan,2016-10-03,0
rakuten,2016-10-03,1
jalan,2016-10-04,0
rakuten,2016-10-04,2
jalan,2016-10-05,0
rakuten,2016-10-05,2
jalan,2016-10-06,0
rakuten,2016-10-06,5
jalan,2016-10-07,1
rakuten,2016-10-07,20
jalan,2016-10-08,4
rakuten,2016-10-08,8
jalan,2016-10-09,0
rakuten,2016-10-09,4
jalan,2016-10-11,1
rakuten,2016-10-11,3
jalan,2016-10-12,0
rakuten,2016-10-12,1
jalan,2016-10-13,1
rakuten,2016-10-13,2
jalan,2016-10-14,1
rakuten,2016-10-14,3
jalan,2016-10-15,1
rakuten,2016-10-15,2
jalan,2016-10-16,2
rakuten,2016-10-16,4
jalan,2016-10-17,0
rakuten,2016-10-17,1
jalan,2016-10-18,1
rakuten,2016-10-18,0
jalan,2016-10-19,1
rakuten,2016-10-19,1
jalan,2016-10-20,2
rakuten,2016-10-20,0
jalan,2016-10-21,1
rakuten,2016-10-21,2
jalan,2016-10-22,0
rakuten,2016-10-22,2
jalan,2016-10-23,0
rakuten,2016-10-23,1
jalan,2016-10-24,1
rakuten,2016-10-24,1
jalan,2016-10-25,0
rakuten,2016-10-25,2
jalan,2016-10-26,0
rakuten,2016-10-26,3
jalan,2016-10-27,1
rakuten,2016-10-27,4
jalan,2016-10-28,0
rakuten,2016-10-28,1
jalan,2016-10-29,1
rakuten,2016-10-29,2
jalan,2016-11-01,0
rakuten,2016-11-01,3
jalan,2016-11-02,0
rakuten,2016-11-02,1
jalan,2016-11-03,0
rakuten,2016-11-03,6
jalan,2016-11-04,1
rakuten,2016-11-04,1
jalan,2016-11-05,1
rakuten,2016-11-05,1
jalan,2016-11-06,0
rakuten,2016-11-06,1
jalan,2016-11-07,1
rakuten,2016-11-07,3
jalan,2016-11-08,0
rakuten,2016-11-08,1
jalan,2016-11-09,0
rakuten,2016-11-09,3
jalan,2016-11-10,1
rakuten,2016-11-10,4
jalan,2016-11-11,0
rakuten,2016-11-11,6
jalan,2016-11-12,1
rakuten,2016-11-12,4
jalan,2016-11-13,0
rakuten,2016-11-13,1
jalan,2016-11-14,2
rakuten,2016-11-14,4
jalan,2016-11-15,0
rakuten,2016-11-15,1
